doi,title,citation,authors_collapsed,affiliations_collapsed,dwr_contribution_collapsed,first_level,second_level,confidence,abstract,note,journal,publication_year,volume,issue,publisher,landing_page_url,pdf_url,is_oa,is_oa_anywhere,oa_status,license,cited_by_count,dwr_author,dwr_lead_author,dwr_sole_author,dwr_funding_other,first_dwr_author,first_dwr_author_position,first_dwr_author_division
10.1007/S00227-023-04302-4,"Assessment of potential impact of magnetic fields from a subsea high-voltage DC power cable on migrating green sturgeon, Acipenser medirostris","Wyman, M., Kavet, R., Battleson, R.D., Agosta, T.V., Chapman, E.D., Haverkamp, P.J., Pagel, M.D., and Klimley, A.P. (2023). Assessment of potential impact of magnetic fields from a subsea high-voltage DC power cable on migrating green sturgeon, Acipenser medirostris. Marine Biology. 170(12). doi:10.1007/S00227-023-04302-4.",M.T. Wyman; Robert Kavet; Ryan D. Battleson; Thomas V. Agosta; Eric D. Chapman; Paul J. Haverkamp; Matthew D. Pagel; A. Peter Klimley,University of California Davis; Electric Power Research Institute; University of Zurich,,biological and ecological sciences,aquatic ecology,0.95,"Empirical evidence suggests that marine animals perceive and orient to local distortions in the earth’s natural magnetic field. Magnetic fields (MFs) generated by electrified underwater cables may produce similar local distortions in the earth’s main field. Concern exists that these distortions may impact migration movements of MF-sensitive animals. The Trans Bay Cable (TBC) is a ± 200-kV, 400-megawatt, 85-km high-voltage direct current transmission line buried through San Francisco Bay (37° 56′ 8.81″ N, 122° 27′ 0.19″ W). Detections of adult green sturgeon implanted with acoustic transmitters were used from six cross-bay receiver arrays from 2006 to 2015 to investigate how inbound and outbound migration movements through lower portions of their route to/from upstream breeding grounds are related to the TBC’s energization status (off/on) and other local environmental variables. Here, we assess how these variables impacted transit success, misdirection from the migration route, transit times, and migration path locations within stretches between the Bay’s mouth and the start of the Sacramento River. Overall, there was varied evidence for any effect on migration behavior associated with cable status (off/on). A higher percentage of inbound fish successfully transited after the cable was energized, but this effect was nonsignificant in models including temperature. Outbound fish took longer to transit after cable energization. Inbound and outbound migration path locations were not significantly influenced by cable energization, but results suggest a potential subtle relationship between energization and both inbound and outbound paths. Overall, additional migration-based studies are needed to investigate the impact of anthropogenic cables on marine species.",Assesses impacts of anthropogenic magnetic fields on marine fish migration behavior within an ecosystem.,Marine Biology,2023,170,12,Springer Science and Business Media LLC,https://doi.org/10.1007/s00227-023-04302-4,https://link.springer.com/content/pdf/10.1007/s00227-023-04302-4.pdf,TRUE,TRUE,hybrid,cc-by,6,FALSE,FALSE,FALSE,TRUE,,,
10.1016/J.JHYDROL.2023.130284,A novel laboratory method for the retrieval of the soil water retention curve from shortwave infrared reflectance,"Norouzi, S., Sadeghi, M., Tuller, M., Ebrahimian, H., Liaghat, A., Jones, S.B., and Jonge, L.W.d. (2023). A novel laboratory method for the retrieval of the soil water retention curve from shortwave infrared reflectance. Journal of Hydrology. 626. 130284. doi:10.1016/J.JHYDROL.2023.130284.",Sarem Norouzi; Morteza Sadeghi; Markus Tuller; Hamed Ebrahimian; Abdolmajid Liaghat; Scott B. Jones; Lis Wollesen de Jonge,Aarhus University; California Department of Water Resources; University of Arizona; University of Tehran; Utah State University,,geological and earth sciences,soils,0.95,"The soil water retention curve (SWRC) is an essential soil property that relates soil water content and matric potential. It plays a crucial role in soil water dynamics and the understanding of various hydrological phenomena at the land surface, including infiltration, runoff, evaporation, and energy exchange processes. In recent years, proximal sensing methods have shown great potential for retrieving this challenging-to-measure property from spectral reflectance. However, a physically-based approach is still lacking as current methods rely on empirical data-driven algorithms. Here we propose a novel physics-based laboratory method that, for the first time, enables direct estimation of the entire SWRC from saturated to dry using soil water content/reflectance data pairs within the shortwave infrared domain. The main hypothesis underlying the new method is that soil optical properties not only vary with soil water content but also with the pore scale distribution of capillary and adsorbed soil water. For evaluation, retrieved soil water retention curves of 21 soils that vastly differ in physical and hydraulic properties were compared to direct measurements. The results suggest that the new method is a rapid and efficient alternative to established laboratory measurement methods.","Develops a novel laboratory method to retrieve the soil water retention curve, a fundamental soil property.",Journal of Hydrology,2023,626,,Elsevier BV,https://doi.org/10.1016/j.jhydrol.2023.130284,,TRUE,TRUE,hybrid,cc-by,8,TRUE,FALSE,FALSE,FALSE,Morteza Sadeghi,2,SGMO
10.1016/J.SRS.2023.100105,A new variant of the optical trapezoid model (OPTRAM) for remote sensing of soil moisture and water bodies,"Sadeghi, M., Mohamadzadeh, N., Liang, L., Bandara, U., Caldas, M.M., and Hatch, T. (2023). A new variant of the optical trapezoid model (OPTRAM) for remote sensing of soil moisture and water bodies. Science of Remote Sensing. 8. 100105. doi:10.1016/J.SRS.2023.100105.",Morteza Sadeghi; Neda Mohamadzadeh; Lan Liang; Uditha Bandara; Marcellus M. Caldas; Tyler Hatch,California Department of Water Resources; Kansas State University; INTERA,,geological and earth sciences,hydrology,0.95,"Over the past few years, the Optical Trapezoid Model (OPTRAM) has been widely used as a means for high-resolution mapping of surface soil moisture using optical satellite data. In this paper, we propose a new variant of OPTRAM that can map not only soil moisture, but also water bodies such as lakes and rivers. The proposed variant was tested using laboratory experimental data as well as Landsat-8 reflectance observations. Results showed the new OPTRAM variant has greater skill than the original variant in separating land and water pixels. In addition, the new variant showed less sensitivity to the model parameters, and hence, is less user dependent. To quantitatively examine the user-dependency of the model, we analyzed OPTRAM soil moisture based on Landsat-8 satellite images in California, where we varied the model parameters in a plausible range. The correlations of the resulting maps in terms of R2 between two largely different sets of parameters were found in the range of 0.47-0.52 for the original variant and 0.67-0.76 for the new variant. Because some OPTRAM parameters can be quite uncertain, particularly in wet regions, the reduced sensitivity promises more consistent soil moisture estimates across the range of parameter choices.","The article describes a remote sensing model for mapping soil moisture and surface water bodies, which are key components of the water cycle.",Science of Remote Sensing,2023,8,,Elsevier BV,https://doi.org/10.1016/j.srs.2023.100105,,TRUE,TRUE,gold,cc-by-nc-nd,13,TRUE,TRUE,FALSE,FALSE,Morteza Sadeghi,1,SGMO
10.1021/ACSEARTHSPACECHEM.3C00177,Secondary Organic Aerosol Formation from Cyanobacterial-Derived Volatile Organic Compounds,"Plaas, H.E., Yan, J., Christensen, C.M., Chang, S., Cortez, C., Fern, S., Nelson, L., and Sabo, A. et al. (2023). Secondary Organic Aerosol Formation from Cyanobacterial-Derived Volatile Organic Compounds. ACS Earth and Space Chemistry. 7(9). 1798-1813. doi:10.1021/ACSEARTHSPACECHEM.3C00177.",Haley E. Plaas; Jinpei Yan; Cade M. Christensen; Seyong Chang; Cintia Cortez; Spencer Fern; Leah Nelson; Alexandrea Sabo; N. Cazimir Armstrong; Barbara J. Turpin; Yue Zhang; Hans W. Paerl; Jason D. Surratt,University of North Carolina at Chapel Hill; Restore the Delta; Delta Air Lines; Texas A&M University,,engineering,environmental engineering,0.9,"Recent work has demonstrated the primary aerosolization of cyanobacterial cells, toxins, and metabolites from cyanobacterial harmful algal blooms (CHABs). However, another possible source of CHAB-derived aerosols is secondary organic aerosol (SOA) formation via the atmospheric oxidation of volatile organic compounds (VOCs) emitted by CHABs. To examine potential SOA formation from CHABs, two cyanobacterial VOCs─2-methylisoborneol (2-MIB) and geosmin (GSM)─were oxidized via hydroxyl radicals (•OH) in a potential aerosol mass-oxidation flow reactor. At 100 ppbv, SOA mass yields were 15.1 ± 2% and 33.9 ± 1.3%, from 2-MIB and GSM, respectively. SOA mass concentrations generated from 2-MIB and GSM oxidations reached up to 102 ± 22 μg m–3 and 252 ± 52 μg m–3, respectively, when exposed to 8–16 days of equivalent •OH exposure. Offline molecular-level characterization of Teflon-filter collected SOA by reverse-phase liquid chromatography interfaced to high-resolution quadrupole time-of-flight mass spectrometry equipped with electrospray ionization (RPLC/ESI-HR-QTOFMS) revealed 7 distinct chemical compounds in both 2-MIB and GSM-derived SOA, which we propose for use as molecular tracers of CHAB-derived SOA in ambient fine particulate matter (PM2.5). Two 2-MIB-derived SOA tracers (molecular formulas of C10H18O4 and C10H16O5) were measured in PM2.5 collected from the airshed of a CHAB. To the best of our knowledge, this is the first observation of respirable CHAB-derived SOA. Our findings strengthen the need to consider outcomes related to human respiratory health in risk assessments and public health messaging surrounding residential and recreational exposures to CHABs.",Study of airborne particulate matter derived from aquatic sources and its implications for air quality and public health.,ACS Earth and Space Chemistry,2023,7,9,American Chemical Society (ACS),https://doi.org/10.1021/acsearthspacechem.3c00177,,FALSE,FALSE,closed,,2,FALSE,FALSE,FALSE,TRUE,,,
10.1175/JCLI-D-23-0081.1,Regulation of Southwestern United States Precipitation by non-ENSO Teleconnections and the Impact of the Background Flow,"Dong, C., Peings, Y., and Magnusdottir, G. (2023). Regulation of Southwestern United States Precipitation by non-ENSO Teleconnections and the Impact of the Background Flow. Journal of Climate. 36(21). 7415-7433. doi:10.1175/JCLI-D-23-0081.1.",Cameron Dong; Yannick Peings; Gudrun Magnusdottir,University of California Irvine,,atmospheric sciences,climatology,0.95,"In this study, we analyze drivers of non–El Niño–Southern Oscillation (ENSO) precipitation variability in the Southwest United States (SWUS) and the influence of the atmospheric basic state, using atmosphere-only and ocean–atmosphere coupled simulations from the Community Earth System Model version 2 (CESM2) large ensemble. A cluster analysis identifies three main wave trains associated with non-ENSO SWUS precipitation in the experiments: a meridional ENSO-type wave train, an arching Pacific–North American-type (PNA) wave train, and a circumglobal zonal wave train. The zonal wave train cluster frequency differs between models and ENSO phase, with decreased frequency during El Niño and the coupled runs, and increased frequency during La Niña and the atmosphere-only runs. This is consistent with an El Niño–like bias of the atmospheric circulation in the coupled model, with strengthened subtropical westerlies in the central and eastern North Pacific that cause a retraction of the waveguide in the midlatitude eastern North Pacific. As such, zonal wave trains from the East Asian jet stream (EAJS) are more likely to be diverted southward in the east Pacific in the coupled large ensemble, with a consequently smaller role in driving SWUS precipitation variability. This study illustrates the need to reduce model biases in the background flow, particularly relating to the jet stream, in order to accurately capture the role of large-scale teleconnections in driving SWUS precipitation variability and improve future forecasting capabilities.",Analyzes atmospheric drivers and teleconnections affecting regional precipitation variability using climate models.,Journal of Climate,2023,36,21,American Meteorological Society,https://doi.org/10.1175/jcli-d-23-0081.1,https://journals.ametsoc.org/downloadpdf/journals/clim/36/21/JCLI-D-23-0081.1.pdf,TRUE,TRUE,bronze,,5,FALSE,FALSE,FALSE,TRUE,,,
10.15447/SFEWS.2023V21ISS3ART4,Priority Bird Conservation Areas in California's Sacramento-San Joaquin Delta,"Dybala, K.E., Sesser, K.A., Reiter, M.E., Shuford, W.D., Golet, G.H., Hickey, C.M., and Gardali, T. (2023). Priority Bird Conservation Areas in California's Sacramento-San Joaquin Delta. San Francisco Estuary and Watershed Science. 21(3). doi:10.15447/SFEWS.2023V21ISS3ART4.",Kristen E. Dybala; Kristin A. Sesser; Matthew E. Reiter; W. David Shuford; Gregory H. Golet; Catherine M. Hickey; Thomas Gardali,Point Blue Conservation Science; California Rice Commission; California Energy Commission; Nature Conservancy; Audubon Canyon Ranch; Audubon Nature Institute,,biological and ecological sciences,avian biology,1,"Conserving bird populations is a key goal for management of the Sacramento–San Joaquin Delta ecosystem and is likely to have effects well beyond its boundaries. To inform bird- conservation strategies, we identified Priority Bird Conservation Areas for riparian landbirds and waterbirds in the Delta, defined as the most valuable 5% of the landscape for each group. We synthesized data from 2,547 surveys for riparian landbirds and 7,820 surveys for waterbirds to develop predictive distribution models, which then informed spatial prioritization analyses. We identified a total of 26,019 ha that are a high priority for conserving riparian landbirds, waterbirds, or both, representing the most important places in the Delta to protect and manage, as well as strategic areas where adjacent restoration could expand valuable habitat. These Priority Bird Conservation Areas include the Yolo Bypass Wildlife Area, Consumnes River Preserve, Stone Lakes National Wildlife Refuge, and bufferlands that surround the Sacramento County Regional Sanitation District. However, we also found that over 60% of the Priority Bird Conservation Areas are not currently protected, indicating a vulnerability to changes in land cover or land use. We recommend advancing strategies for bird conservation in the Delta by developing more specific objectives and priorities, extending these analyses to include other bird species, and planning to mitigate the loss of Priority Bird Conservation Areas where they are most vulnerable to land cover change. The predictive models and analysis framework we developed represent the current state of the science on areas important to bird conservation, while also providing a foundation for an evolving bird-conservation strategy that reflects the Delta’s continuously evolving knowledge base and landscape.",Focuses on identifying priority conservation areas for bird populations in an ecosystem.,San Francisco Estuary and Watershed Science,2023,21,3,California Digital Library (CDL),https://doi.org/10.15447/sfews.2023v21iss3art4,https://escholarship.org/content/qt5r53m1k6/qt5r53m1k6.pdf?t=s1k1s6,TRUE,TRUE,diamond,cc-by,0,FALSE,FALSE,FALSE,TRUE,,,
10.1088/1748-9326/ADE45B,"Explaining hot spots of methane flux in a restored wetland: the role of water level, soil disturbance, and methanotrophy.","Rey-Sanchez, C., Arias-Ortiz, A., Kasak, K., Shortt, R., Szutu, D., Verfaillie, J., Lorenson, T.D., and Liira, M. et al. (2025). Explaining hot spots of methane flux in a restored wetland: the role of water level, soil disturbance, and methanotrophy.. Environmental Research Letters. 20. doi:10.1088/1748-9326/ADE45B.",Camilo Rey-Sanchez; Ariane Arias-Ortiz; Kuno Kasak; Robert Shortt; Daphne Szutu; Joseph Verfaillie; Thomas D. Lorenson; Martin Liira; Peeter Somelar; Mikk Espenberg; Dennis Baldocchi,,,climate change science and adaptation,greenhouse gas management,0.95,"A high degree of uncertainty persists regarding current and future emissions of methane from both natural and constructed wetlands. Part of the problem is the existence of “hot spots” of methane flux, which have not been clearly identified and studied at multiple scales. Methane has a short lifetime compared to carbon dioxide; thus, efforts to avoid methane hot spots from constructed wetlands can promptly decelerate the rate of atmospheric warming. In this study we measured methane fluxes using flux towers in a restored oligohaline wetland in the Sacramento-San Joaquin River Delta, where we previously identified a hot spot of methane flux using footprint-weighed flux maps and chambers. Our main objectives with this study were to determine why this hot spot occurs and what are the biogeochemical and microbiological conditions that lead to these high methane fluxes. We found four main mechanisms that explain the existence of the hot spot. 1) The hot spot was associated with areas where the water level was closer to the surface 2) Methane originated mostly from older unoxidized peat in deeper layers, which had a shorter migration pathway to the atmosphere at the hot spot location due to soil disturbance during wetland construction. 3) Relatively lower methane oxidation in the hot spot in the upper soil layer (10-30 cm under the surface), deduced from isotopic profiles in porewater carbon and upper-level methanotroph abundance. 4) Higher ebullition events at the hot spot that can be related to low water levels and lower bulk density throughout the soil profile. This study thus suggests that mitigating soil disturbances during wetland construction and managing water level can reduce the occurrence and magnitude of hot spots of methane flux in constructed wetlands.",The study investigates mechanisms of methane flux in wetlands and proposes mitigation strategies to reduce emissions.,Environmental Research Letters,2025,20,,IOP Publishing,https://doi.org/10.1088/1748-9326/ade45b,,TRUE,TRUE,gold,cc-by,1,FALSE,FALSE,FALSE,TRUE,,,
10.1088/2515-7620/ADD3CC,"The 1991 California ""Miracle March"": Precipitation Myth or Miracle?","Poulsen, C., Clemesha, R.E.S., Howard, I.M., Gershunov, A., Dettinger, M.D., Zhang, Z., Luna-Nino, R., and Stahle, D.W. et al. (2025). The 1991 California ""Miracle March"": Precipitation Myth or Miracle?. Environmental Research Communications. 7. doi:10.1088/2515-7620/ADD3CC.",Cody Poulsen; Rachel E. S. Clemesha; Ian M. Howard; Alexander Gershunov; Michael D. Dettinger; Zhenhai Zhang; Rosa Luna-Nino; David W. Stahle; F. Martin Ralph,,,geological and earth sciences,hydrology,0.9,"The term “Miracle March” is colloquially used in California to describe an anomalously wet spring that alleviates drought conditions caused by a winter precipitation deficit. This study centers on the influential water year 1991, which is the standard reference point for this phenomenon. The spring precipitation impact on water year totals and the geographic extent of the spring precipitation anomaly during the 1991 “Miracle March” (MM91) is without equal in the observational record. This exceptional precipitation episode was initiated by a week-long sequence of extreme atmospheric rivers that started landfalling on February 27th. To this day, MM91 is routinely referenced as a basis for hope of drought alleviation in California water management. MM91 demonstrates the role that an exceptional spring precipitation season can play in determining the cessation of drought, but a historical analysis also shows just how unusual such conditions are.",The article analyzes an exceptional precipitation event and its impact on water year totals and drought alleviation.,Environmental Research Communications,2025,7,,IOP Publishing,https://doi.org/10.1088/2515-7620/add3cc,,TRUE,TRUE,gold,cc-by,0,FALSE,FALSE,FALSE,TRUE,,,
10.15447/SFEWS.2022V20ISS3ART2,Wakasagi in the San Francisco Bay Delta Watershed: Comparative Trends in Distribution and Life-History Traits with Native Delta Smelt,"Davis, B., Adams, J., Lewis, L.S., Hobbs, J.A., Ikemiyagi, N., Johnston, C., Mitchell, L., and Shakya, A.W. et al. (2022). Wakasagi in the San Francisco Bay Delta Watershed: Comparative Trends in Distribution and Life-History Traits with Native Delta Smelt. San Francisco Estuary and Watershed Science. 20(3). doi:10.15447/SFEWS.2022V20ISS3ART2.",Brittany Davis; Jesse Adams; Levi S. Lewis; James A. Hobbs; Naoaki Ikemiyagi; Catherine Johnston; Lara Mitchell; Anjali W. Shakya; Brian M. Schreier,California Department of Water Resources; University of California Davis; California Department of Fish and Wildlife; United States Fish and Wildlife Service,,biological and ecological sciences,invasive species,0.95,"Intentional introductions of non-native fishes can severely affect native communities. Wakasagi (Hypomesus nipponensis, referred to as Japanese Pond Smelt) are native to Japan and were once separated from their non-native congener the endangered Delta Smelt (Hypomesus transpacificus) of the San Francisco Estuary (hereon “estuary”) of California. Wakasagi were introduced into California reservoirs in the 20th century as forage fish. Wakasagi have since expanded their distribution downstream to the estuary, but less is known about Wakasagi’s current distribution status, biology in the estuary, and negative influences on Delta Smelt. In this study, we took a comparative approach by synthesizing long-term field monitoring surveys, modeling environmental associations, and quantifying phenology, growth, and diets of Wakasagi and Delta Smelt to describe abundance and range, trends of co-occurrence, and shared ecological roles between smelt species. We found Wakasagi in greatest abundance in the upper watershed below source reservoirs, and in the northern regions of the estuary with the most co-occurrence with Delta Smelt; however, their range extends to western regions of the estuary, and we found evidence of an established population that annually spawns and rears in the estuary. We found these smelt species have similar ecological roles demonstrated by overlaps in habitat use (e.g., an association with higher turbidities and higher outflow), phenology, growth, and diets. Despite similarities, earlier hatching and rearing of Wakasagi during cooler months and reduced growth during warmer drought years suggest this species is unlike typical non-natives (e.g., Centrarchids), and they exhibit a similar sensitivity to environmental variability as Delta Smelt. This sensitivity may be why Wakasagi abundance remains relatively low in the estuary.","Examines the ecological impacts and interactions of an introduced fish species with a native, endangered species.",San Francisco Estuary and Watershed Science,2022,20,3,California Digital Library (CDL),https://doi.org/10.15447/sfews.2022v20iss3art2,https://escholarship.org/content/qt7422g389/qt7422g389.pdf?t=rk01xm,TRUE,TRUE,diamond,cc-by,3,TRUE,TRUE,FALSE,FALSE,Brittany Davis,1,DISE
10.1061/9780784484678.028,Modified Hyperbolic Model for Dynamic Properties of Peaty Organic Soils,"Wang, P., Buckreis, T.E., Brandenberg, S.J., and Stewart, J.P. (2023). Modified Hyperbolic Model for Dynamic Properties of Peaty Organic Soils. Geo-Congress 2019. 273-282. doi:10.1061/9780784484678.028.",Pengfei Wang; Tristan E. Buckreis; Scott J. Brandenberg; Jonathan P. Stewart,Old Dominion University; University of California Los Angeles,,geological and earth sciences,soils,0.95,"Modulus reduction and damping versus shear strain relationships (hereafter MRD) are essential for nonlinear ground response analyses of soil sites. For sites containing thick deposits of peat, large shear strains that produce pronounced nonlinearity are expected in seismically active regions. Currently, available MRD models for peat have strongly divergent characteristics, particularly with regard to the influence of confining stress. We assembled a large database of test data from literature and proposed a hyperbolic model, similar in form to widely used models for non-organic soils, for application to peat. We related the critical model parameters to stress history-modified effective stress, finding no strong dependence on organic content (OC) and peat composition (fibrous structure) over the parametric range of the database (OC >30%). The new model captures both the weak and strong dependencies of MRD behaviors with effective stress from literature, with weak dependence occurring in normally consolidated peats for σv′/pa>0.2 (where σv′ is vertical effective stress and pa is atmospheric pressure) and stronger dependence at smaller stresses. We present here a model for OC >30% conditions and its associated aleatory variability, which was established from residuals derived from test results. Compared to previous peat MRD models, the proposed model has more easily interpretable parameters and reduces the model bias and uncertainty.","Developing a hyperbolic model for the dynamic properties of peaty organic soils, focusing on physical properties like modulus reduction and damping.",Geo-Congress 2019,2023,,,American Society of Civil Engineers,https://doi.org/10.1061/9780784484678.028,,FALSE,FALSE,closed,,1,FALSE,FALSE,FALSE,TRUE,,,
